Type,Commentgroup,Chaine has chat-comms telecharged,Chat avec des sous catégories,Ville/Région,Communautés régionales de compatriotes,Titre_ru,Titre_fr,Titre_support,Lien,Date de création,Dérnier message,Nombre de messages (mai 2025),Nombre de messages (avril 2026),Type de communication,Thématique,Organisatio bénévole,Groupes de sources,Description,Nombre de participants (mai 2025),Nombre de participants (avril 2026),Téléchargé le ,Téléchargé
Chat,,,,Rostov on Don et la région de Rostov,0,ВЕЩИ Беженцам Ростов-на-Дону,ARTICLES pour les réfugiés à Rostov-sur-le-Don,articles_pour_refugies_rostov_on_don,https://t.me/veshibezhentsam,10.09.2022,présent,2613,2616,Messages structurés,Re-use/articles,Склад Ростов,,"Annonces « à céder/recherché » ; entrepôt situé au 229, rue Lermontovskaya ; les transactions sont supprimées.",2001,1819,19/04/2026,1
Chat,,,,Rostov on Don et la région de Rostov,0,#ПодариУдочку Работа для беженцев в Ростове-на-Дону и РО,#OffrezUneCanneÀPêche Emplois pour les réfugiés à Rostov-sur-le-Don et dans la région de Rostov,offrezunecanneapeche,https://t.me/podariudochku,13.02.2023,présent,2377,2417,Messages structurés,Recherche de travail,,,Offres d'emploi par hashtags #recherche_employés / #propose_services.,1738,1574,19/04/2026,1
Chaine,,,,Rostov on Don et la région de Rostov,1,БЕЖЕНЦЫ ДОНБАСС/РОСТОВСКАЯ ОБЛАСТЬ,Réfugiés Donbass/Région de Rostov,refugies_donbass_region_de_rostov,https://t.me/shtab61,20.02.2022,présent,52916,52925,Chaîne d'information,Générale,,,"C'est une chaîne très particulière. À l'origine, elle semblait avoir été créée pour un usage personnel : l'auteur publiait simplement des autocollants et des blagues, puis en juillet 2021, la chaîne a été renommée « ZODIAC|HOROSCOPE » et a commencé à publier des horoscopes. La publication des horoscopes s'est poursuivie jusqu'en novembre 2021, puis le 20 février 2022, la chaîne est redevenue active et a publié des informations sur le début des mouvements militaires à Donetsk et sur l'évacuation des personnes des territoires de la RPD et de la RPL.",1340,982,19/04/2026,1
Chaine,,1,,Rostov on Don et la région de Rostov,0,Дорогие гости Таганрога,Chers invités de Taganrog,chers_invites_de_taganrog,https://t.me/dearguests_tgn,16.05.2022,2025-07-21 00:00:00,1133,1146,Organisationnel,Activités d'une organisation bénévole,Помощь беженцам в Таганроге,Дорогие гости Таганрога,"Ainsi, ce canal rassemble des informations utiles pour les réfugiés à Taganrog : coordonnées, adresses, liens... Des informations administratives y sont également publiées. Pour obtenir l'aide des bénévoles, il est demandé de remplir un formulaire en fournissant les informations suivantes : nom, prénom, numéro de téléphone, date d'arrivée, composition de la famille, âge des membres de la famille, tailles de vêtements, pointures, besoins alimentaires (oui ou non), quartier de la ville, rue et demande spécifique. La chaîne sert également de contact avec d'autres bénévoles prêts à apporter telle ou telle aide humanitaire à l'entrepôt (des listes des articles nécessaires sont publiées). Des reportages photos sur l'aide apportée sont publiés. Les bénévoles publient également parfois leurs impressions sur les rencontres et le travail.",359,312,21/04/2026,1
Chat,1,,,Rostov on Don et la région de Rostov,0,Благотворительный фонд | Доброе дело,Fondation caritative | Une bonne action,fondation_caritative_une_bonne_action_chat,,25.02.2022,présent,,3101,Commentgoupe,Activités d'une organisation bénévole,Доброе дело,Благотворительный фонд | Доброе дело,"Ce fonds existait probablement déjà avant la guerre de 2022, mais ils ont créé leur chaîne Telegram le lendemain du début de l'invasion à grande échelle et ont commencé à aider les personnes qui avaient fui les territoires de la RPD et de la RPL. Les premiers messages concernaient la collecte d'aide humanitaire. Parallèlement, le fonds poursuit ses activités principales et publie également des rapports à ce sujet. Il publie également des rapports sur l'aide apportée à la RPD et à la RPL, et même sur le nombre de personnes qui ont fait appel à lui. Le fonds opère dans la ville de Rostov.",,21,21/04/2026,1
Chaine,,1,,Rostov on Don et la région de Rostov,0,Благотворительный фонд | Доброе дело,Fondation caritative | Une bonne action,fondation_caritative_une_bonne_action,https://t.me/dobroedelo61,25.02.2022,présent,1223,1621,Organisationnel,Activités d'une organisation bénévole,Доброе дело,Благотворительный фонд | Доброе дело,,373,550,21/04/2026,1
Chat,,,,Rostov on Don et la région de Rostov,0,ЧатСборовДваСердца,Discussion de la collecte Deux cœurs,discussion_de_la_collecte_deux_coeurs,https://t.me/ChatSosRostov61,13.04.2022,présent,7238,9269,Communication/discussions/échange d'informations,Activités d'une organisation bénévole,Два сердца ,,Groupe caritatif « Deux cœurs » ; rapports ; histoires de familles.3665#,413,450,21/04/2026,1
Chaine,,1,,Rostov on Don et la région de Rostov,0,ГУМАНИТАРНАЯ ПОМОЩЬ В РОСТОВСКОЙ ОБЛАСТИ,AIDE HUMANITAIRE DANS LA RÉGION DE ROSTOV,aide_humanitaire_dans_la_region_de_rostov,https://t.me/od_dobro_na_donu,09.03.2022,2025-05-23 00:00:00,666,681,Organisationnel,Activités d'une organisation bénévole,Добро на Дону,Добро на Дону,"Depuis 2014, le mouvement social « Dobro-na-Donu » apporte une aide humanitaire aux habitants du Donbass, ainsi qu'aux personnes défavorisées, aux familles à faibles revenus et nombreuses, aux mères célibataires et aux familles en situation difficile résidant dans la région de Rostov. Il convient de noter que la chaîne présente un format très sobre et fournit exclusivement des informations sur les questions administratives et l'aide apportée directement à Rostov et au Donbass.",451,395,21/04/2026,1
Chat,1,,,Rostov on Don et la région de Rostov,0,ГУМАНИТАРНАЯ ПОМОЩЬ В РОСТОВСКОЙ ОБЛАСТИ,AIDE HUMANITAIRE DANS LA RÉGION DE ROSTOV,aide_humanitaire_dans_la_region_de_rostov_chat,,09.03.2022,2025-05-23 00:00:00,666,1527,Commentgoupe,Activités d'une organisation bénévole,Добро на Дону,Добро на Дону,"Depuis 2014, le mouvement social « Dobro-na-Donu » apporte une aide humanitaire aux habitants du Donbass, ainsi qu'aux personnes défavorisées, aux familles à faibles revenus et nombreuses, aux mères célibataires et aux familles en situation difficile résidant dans la région de Rostov. Il convient de noter que la chaîne présente un format très sobre et fournit exclusivement des informations sur les questions administratives et l'aide apportée directement à Rostov et au Donbass.",,17,21/04/2026,1
Chaine,,,,Rostov on Don et la région de Rostov,0,Помощь беженцам Ростов-на-Дону РНД,Assistance aux réfugiés à Rostov-sur-le-Don RND,assistance_aux_refugies_rostov_on_don_RND,https://t.me/+UHFSeGha5MtiZDgy,22.03.2022,présent,435,,Organisationnel,Activités d'une organisation bénévole,Помощь беженцам РнД,,"Chat des bénévoles. Publication de rapports sur l'aide apportée (collecte et distribution d'aide matérielle), ainsi que d'annonces d'emploi. À partir d'un certain moment (juin 2022), le format du canal a été réorganisé afin de fournir une aide ponctuelle à des personnes et dans des cas spécifiques. Ainsi, chaque « questionnaire » donne lieu à une collecte qui est clôturée une fois terminée. « Collecte personnelle ». Malgré cela, les collectes globales se poursuivent (par exemple, des vêtements chauds pour tous à l'approche de l'hiver).",478,,,
Chaine,,1,,Rostov on Don et la région de Rostov,0,КРАСНЫЙ КРЕСТ РОСТОВ,CROIX ROUGE ROSTOV,croix_rouge_rostov,https://t.me/krasnyykrest_rostov,24.02.2022,présent,907,,Organisationnel,Activités d'une organisation bénévole,Красный Крест,Красный Крест,"La chaîne publie des rapports sur les activités de la Croix-Rouge, notamment sur ses initiatives en faveur des personnes déplacées.",1161,,,1
Chat,1,,,Rostov on Don et la région de Rostov,0,КРАСНЫЙ КРЕСТ РОСТОВ,CROIX ROUGE ROSTOV,croix_rouge_rostov_chat,,24.02.2022,présent,,,Commentgoupe,Activités d'une organisation bénévole,Красный Крест,Красный Крест,"La chaîne publie des rapports sur les activités de la Croix-Rouge, notamment sur ses initiatives en faveur des personnes déplacées.",,,,
Chaine,,1,,Rostov on Don et la région de Rostov,0,Центр гуманитарной помощи Милосердие-на-Дону,Centre d'aide humanitaire Miséricorde du Don,centre_aide_humanitaire_misericorde_du_don,https://t.me/cgp_miloserdie_don,17.05.2022,présent,1272,,Organisationnel,Activités d'une organisation bénévole,Милосердие на Дону,Милосердие на Дону,"Ainsi, ce centre ne s'adresse pas uniquement aux réfugiés, mais à un plus grand nombre de groupes de personnes. Les premiers messages publient des rapports sur la quantité d'aide fournie pour une journée donnée. Outre les rapports, des actualités et d'autres annonces sont également publiées.",813,,16/06/2026,1
Chat,1,,,Rostov on Don et la région de Rostov,0,Центр гуманитарной помощи Милосердие-на-Дону,Centre d'aide humanitaire Miséricorde du Don,centre_aide_humanitaire_misericorde_du_don_chat,,17.05.2022,présent,,,Commentgoupe,Activités d'une organisation bénévole,Милосердие на Дону,Милосердие на Дону,"Ainsi, ce centre ne s'adresse pas uniquement aux réfugiés, mais à un plus grand nombre de groupes de personnes. Les premiers messages publient des rapports sur la quantité d'aide fournie pour une journée donnée. Outre les rapports, des actualités et d'autres annonces sont également publiées.",,,,1
Chat,1,,,Rostov on Don et la région de Rostov,0,Дорогие гости Таганрога,Chers invités de Taganrog,chers_invites_de_taganrog_chat,https://t.me/help_tgn,16.05.2022,2025-07-21 00:00:00,,,Commentgoupe,Activités d'une organisation bénévole,Помощь беженцам в Таганроге,Дорогие гости Таганрога,"Ainsi, ce canal rassemble des informations utiles pour les réfugiés à Taganrog : coordonnées, adresses, liens... Des informations administratives y sont également publiées. Pour obtenir l'aide des bénévoles, il est demandé de remplir un formulaire en fournissant les informations suivantes : nom, prénom, numéro de téléphone, date d'arrivée, composition de la famille, âge des membres de la famille, tailles de vêtements, pointures, besoins alimentaires (oui ou non), quartier de la ville, rue et demande spécifique. La chaîne sert également de contact avec d'autres bénévoles prêts à apporter telle ou telle aide humanitaire à l'entrepôt (des listes des articles nécessaires sont publiées). Des reportages photos sur l'aide apportée sont publiés. Les bénévoles publient également parfois leurs impressions sur les rencontres et le travail.",,,,
Chat,,,,Rostov on Don et la région de Rostov,1,Мариуполь в Ростове,Marioupol à Rostov,marioupol_a_rostov,https://t.me/mariupolvrostove,30.05.2022,présent,23175,,Communication/discussions/échange d'informations,Générale,,,Ce chat a été créé pour échanger des informations à l'initiative de bénévoles prêts à répondre aux questions et à rechercher les informations nécessaires. Les personnes s'intéressent principalement aux questions administratives.,238,,,1
Chaine,,1,,Rostov on Don et la région de Rostov,0,Добро в Таганроге,Le bienfait à Taganrog,le_bienfait_a_taganrog,https://t.me/dobro_v_tgn,27.03.2022,présent,5015,,Organisationnel,Activités d'une organisation bénévole,Добро в Таганроге,Добро в Таганроге,"Ce contact sert de lieu de communication entre le centre de bénévolat et les autres personnes désireuses d'apporter leur aide. Il publie des informations sur l'aide apportée, le travail des bénévoles, les besoins des centres : en termes d'aide humaine, de ressources... Il publie également des rapports sur le nombre de personnes arrivant au centre de bénévolat. Les messages sont rédigés dans un style assez émotionnel.",1091,1167,16/06/2026,1
Chat,1,,,Rostov on Don et la région de Rostov,0,Добро в Таганроге,Le bienfait à Taganrog,le_bienfait_a_taganrog_chat,,27.03.2022,présent,,,Commentgoupe,Activités d'une organisation bénévole,Добро в Таганроге,Добро в Таганроге,"Ce contact sert de lieu de communication entre le centre de bénévolat et les autres personnes désireuses d'apporter leur aide. Il publie des informations sur l'aide apportée, le travail des bénévoles, les besoins des centres : en termes d'aide humaine, de ressources... Il publie également des rapports sur le nombre de personnes arrivant au centre de bénévolat. Les messages sont rédigés dans un style assez émotionnel.",,,,1
Chaine,,1,,Rostov on Don et la région de Rostov,0,Ленинградский «ДОБРОВОЛЕЦ»,Le « DOBROVOLETS » (bénévole) de Leningrad,dobrovolets_de_leningrad,https://t.me/DOBROVOLECSP,31.03.2022,présent,4624,,Organisationnel,Activités d'une organisation bénévole,Доброволец,Ленинградский «ДОБРОВОЛЕЦ»,Il s'agit d'une chaine d'aide qui reçoit des dons de Saint-Pétersbourg et les distribue à Rostov. Ce canal permet de soumettre des demandes d'aide en remplissant un formulaire. Il publie également des vidéos et des photos de la distribution de l'aide humanitaire. Des rapports quantitatifs sur le volume de l'aide distribuée sont également publiés.,1329,,,1
Chat,1,,,Rostov on Don et la région de Rostov,0,Ленинградский «ДОБРОВОЛЕЦ»,Le « DOBROVOLETS » (bénévole) de Leningrad,dobrovolets_de_leningrad_chat,,31.03.2022,présent,,,Commentgoupe,Activités d'une organisation bénévole,Доброволец,Ленинградский «ДОБРОВОЛЕЦ»,Il s'agit d'une chaine d'aide qui reçoit des dons de Saint-Pétersbourg et les distribue à Rostov. Ce canal permet de soumettre des demandes d'aide en remplissant un formulaire. Il publie également des vidéos et des photos de la distribution de l'aide humanitaire. Des rapports quantitatifs sur le volume de l'aide distribuée sont également publiés.,,,,1
Chaine,,1,,Rostov on Don et la région de Rostov,0,Неравнодушные,les gens qui ne sont pas indifférents,les_gens_pas_indifferents,https://t.me/neravnodyshnie_taganrog,25.03.2022,2023-10-24 00:00:00,4482,,Organisationnel,Activités d'une organisation bénévole,Неравнодушные,,"Messages sur la situation à la frontière ; photos, récits -- Sur leur chaîne, les bénévoles partagent des informations sur la situation à la frontière, sur l'arrivée des personnes (souvent avec beaucoup de détails, des messages assez émouvants, des photos).",1772,,,1
Chat,1,,,Rostov on Don et la région de Rostov,0,Неравнодушные,les gens qui ne sont pas indifférents,les_gens_pas_indifferents_chat,,25.03.2022,2023-10-24 00:00:00,,,Commentgoupe,Activités d'une organisation bénévole,Неравнодушные,,"Messages sur la situation à la frontière ; photos, récits -- Sur leur chaîne, les bénévoles partagent des informations sur la situation à la frontière, sur l'arrivée des personnes (souvent avec beaucoup de détails, des messages assez émouvants, des photos).",,,,
Chat,,,,Rostov on Don et la région de Rostov,0,ПВР ИП Резванов (Неклиновский район),PVR IP Rezvanov (district de Neklinovsky),pvr_ip_resvanov,https://t.me/legenda202422,22.05.2022,,66866,,,Centres d'hébergement temporaire (PVR),,,"Annonces d'événements, vie quotidienne du PVR, citations, questions des résidents.",104,,,1
Chat,,,,Rostov on Don et la région de Rostov,0,Добрый Ростов: волонтеры в помощь беженцам,Rostov bienveillant : des bénévoles viennent en aide aux réfugiés,rostov_bienveillant,https://t.me/DobryyRostov,12.04.2022,présent,29082,,Organisationnel,Activités d'une organisation bénévole,Добрый Ростов,,"Recherche de bénévoles, aide humanitaire, assistance ciblée.",3961,,,1
Chaine,,1,,Rostov on Don et la région de Rostov,0,Шепот волонтера | ДОНБАСС-МАРАФОН,Le murmure du bénévole | DONBASS-MARATHON,murmure_du_benevole,https://t.me/shepot_volontera,07.04.2022,présent,2103,2323,Organisationnel,Activités d'une organisation bénévole,Шепот волонтера,,"Recherche de bénévoles pour le PVR, collecte d'articles pour le PVR, collecte de dons. Reportages photo sur le travail bénévole. Ce forum contient de nombreuses citations et réflexions sur le travail bénévole.",567,529,16/06/2026,1
Chat,1,,,Rostov on Don et la région de Rostov,0,Шепот волонтера | ДОНБАСС-МАРАФОН,Le murmure du bénévole | DONBASS-MARATHON,murmure_du_benevole_chat,,07.04.2022,présent,,,Commentgoupe,Activités d'une organisation bénévole,Шепот волонтера,,"Recherche de bénévoles pour le PVR, collecte d'articles pour le PVR, collecte de dons. Reportages photo sur le travail bénévole. Ce forum contient de nombreuses citations et réflexions sur le travail bénévole.",,,,1
Chaine,,1,,Belgorod,0,Армия Красоток,Amrée de beauté,armiya_krasotok,https://t.me/skillz_story,,,,,Organisationnel,Activités d'une organisation bénévole,Армия Красоток,Армия Красоток,,,,,1
Chat,1,,,Belgorod,,Армия Красоток,Amrée de beauté,armiya_krasotok_chat,,,,,,Commentgoupe,Activités d'une organisation bénévole,Армия Красоток,Армия Красоток,,,,,1
Chaine,,1,,Moscou et la région de Moscou,0,БЕЖЕНЦЫ МОСКВА И МО,REFUGEÉS À MOSCOUE ET LA RÉGION DE MOSCOU,refugees_a_moscou,https://t.me/NEED2HELP,24.03.2022,présent,273,,Chaîne d'information,Générale,,Беженцы Москва и МО,"Thèmes structurés avec commentaires : logement, travail, biens, fraudeurs, etc.",4449,,,1
Chat,1,,,Moscou et la région de Moscou,0,БЕЖЕНЦЫ МОСКВА И МО,REFUGEÉS À MOSCOUE ET LA RÉGION DE MOSCOU,refugees_a_moscou_chat,,24.03.2022,présent,,,Commentgoupe,Générale,,Беженцы Москва и МО,"Thèmes structurés avec commentaires : logement, travail, biens, fraudeurs, etc.",,,,1
Chat,,,,Moscou et la région de Moscou,0,Москва проездом из Украины в Европу.,"Moscou, en transit de l'Ukraine vers l'Europe.",,https://t.me/+QdQMjZWCEQpmODli,,,,,,Franchissement de la frontière,,,Le chat est fermé. Il est destiné aux personnes qui transitent par Moscou et prévoient de se rendre ensuite en Europe.,4093,,,
Bot,,,,Moscou et la région de Moscou,0,Проездом в Европу — заявки на помощь,En route vers l'Europe — demandes d'assistance,,@urk_ross_europe_transit_bot,,,,,Réception des candidatures,Franchissement de la frontière,,,Collecte des demandes d'aide au transit.,,,,
Chaine,,1,,Moscou et la région de Moscou,0,Дари еду,Offrir de la nourriture,dari_edu,https://t.me/dariedu,25.02.2022,présent,5419,,Organisationnel,Activités d'une organisation bénévole,Дари еду,Дари еду,"Aide à l'échelle de la ville, y compris aux réfugiés ; rapports. À l'origine, ce fonds caritatif n'avait pas été créé exclusivement pour soutenir les réfugiés, mais à partir d'un certain moment, ce groupe de population a commencé à avoir grandement besoin de l'aide de ce fonds.",9103,,,1
Chat,1,,,Moscou et la région de Moscou,0,Дари еду,Offrir de la nourriture,dari_edu_chat,,25.02.2022,présent,,,Commentgoupe,Activités d'une organisation bénévole,Дари еду,Дари еду,"Aide à l'échelle de la ville, y compris aux réfugiés ; rapports. À l'origine, ce fonds caritatif n'avait pas été créé exclusivement pour soutenir les réfugiés, mais à partir d'un certain moment, ce groupe de population a commencé à avoir grandement besoin de l'aide de ce fonds.",,,,1
Chaine,,1,,Moscou et la région de Moscou,0,Волонтеры Подмосковья | Можайск,Volontaires de la région de Moscou | Mozhaisk,volontaires_mozhaisk,https://t.me/volontermzh,05.04.2022,présent,524,,Blog,Activités d'une organisation bénévole,Волонтеры подмосковья,Волонтеры подмосковья,"Chaîne publiant des rapports sur les activités du centre de bénévolat. Des reportages photo sur l'aide apportée aux réfugiés du Donbass y sont publiés. Cela semble très ostentatoire et orienté vers la Russie. Les publications utilisent des slogans, des symboles russes, etc. Souvent, les publications indiquent simplement où ils sont allés, qui ils ont rencontré, et peu d'informations sur l'aide apportée.",363,,,1
Chat,1,,,Moscou et la région de Moscou,0,Волонтеры Подмосковья | Можайск,Volontaires de la région de Moscou | Mozhaisk,volontaires_mozhaisk_chat,,05.04.2022,présent,,,Commentgoupe,Activités d'une organisation bénévole,Волонтеры подмосковья,Волонтеры подмосковья,"Chaîne publiant des rapports sur les activités du centre de bénévolat. Des reportages photo sur l'aide apportée aux réfugiés du Donbass y sont publiés. Cela semble très ostentatoire et orienté vers la Russie. Les publications utilisent des slogans, des symboles russes, etc. Souvent, les publications indiquent simplement où ils sont allés, qui ils ont rencontré, et peu d'informations sur l'aide apportée.",,,,1
Chat,,,,Moscou et la région de Moscou,0,✈️ Шереметьево — отказники/фильтрация,✈️ Sheremetyevo — refus/filtrage,sheremetyevo_refus_filtrage,https://t.me/ukr_v_rf,25.12.2022,présent,25770,,Communication/discussions/échange d'informations,Franchissement de la frontière,,,"Ce chat a été créé pour échanger des informations concernant le passage de la frontière russe à Sheremetyevo. Il s'agit du filtrage des Ukrainiens à Sheremetyevo : s'ils souhaitent se rendre en Russie, certains sont obligés de passer par Sheremetyevo pour ensuite se rendre dans les territoires occupés. Les personnes partagent en détail leurs expériences, comment elles sont interrogées, ce qu'elles voient... Vous pouvez obtenir plus d'informations sur le filtrage sur Internet.",23033,,,1
Chat,,,,Moscou et la région de Moscou,0,Отказники Шереметьево,Les déserteurs de Sheremetyevo,otkazniki_sheremetyevo,https://t.me/otkazniki_ukr,15.11.2023,présent,82704,,Communication/discussions/échange d'informations,Franchissement de la frontière,,,Discussion similaire sur la filtration.,22624,,,
Chat,,,,Crimée,0,Беженцы Крым,Réfugiés Crimée,refugees_crimee,https://t.me/help_crimea,21.03.2022,présent,63520,,Communication/discussions/échange d'informations,Générale,,,Ce chat a été créé pour échanger des informations concernant l'hébergement des réfugiés en Crimée. Il sert également de lieu de communication entre ceux qui souhaitent apporter leur aide et ceux qui en ont besoin (aide informative et matérielle). Il est interdit de discuter de politique ou d'échange de devises dans ce chat.,1251,,,1
Chaine,,,,Crimée,0,Добро Мира — Волонтёры Крыма,Le bien du monde — Les bénévoles de Crimée,dobro_mira,https://t.me/volonterykryma,26.02.2022,présent,10142,,Organisationnel,Activités d'une organisation bénévole,Добро мира,,La chaîne publie des rapports sur les activités bénévoles de la communauté. Elle facilite également la mise en relation avec d'autres personnes désireuses d'apporter leur aide et permet de solliciter divers articles ou une aide financière.,1441,,,1
Chaine,,1,,Crimée,0,Добро V Керчи,Le bienfait V (à) Kerch,bienfait_kerch,https://t.me/dobro_v_kerchi,11.03.2022,2024-07-15 00:00:00,1160,,Organisationnel,Activités d'une organisation bénévole,Добро в Керчи,Добро в Керчи,Cette chaine est une petite branche de la communauté susmentionnée. Des rapports sur l'aide fournie sont également publiés. Les demandes d'aide sont publiées.,224,,,1
Chat,1,,,Crimée,0,Добро V Керчи,Le bienfait V (à) Kerch,bienfait_kerch_chat,https://t.me/DobrovKerchi,11.03.2022,2024-07-15 00:00:00,,,Commentgoupe,Activités d'une organisation bénévole,Добро в Керчи,Добро в Керчи,Cette chaine est une petite branche de la communauté susmentionnée. Des rapports sur l'aide fournie sont également publiés. Les demandes d'aide sont publiées.,,,,1
Chat,,,,Crimée,0,Беженцы Севастополь,Réfugiés Sevastopol,refugees_sevastopol,https://t.me/help_crimea_sevastopol,28.03.2022,présent,36587,,Communication/discussions/échange d'informations,Offre et recherche d'aide,,,Chat pour communiquer et échanger des informations. Offre d'aide et demande d'assistance.,450,,,1
Chat,,,,Crimée,0,Беженцы Симферополь,Réfugiés Simpheropol,refugees_simpheropol,https://t.me/help_crimea_simferopol,28.03.2022,présent,51641,,Communication/discussions/échange d'informations,Offre et recherche d'aide,,,Chat pour la communication et l'échange d'informations. Offre d'aide et demande d'assistance.,574,,,1
Chat,,,,Crimée,0,Отважный КРЫМ — Быть добру!,"Cher CRIMÉE, soyez en bonne santé !",cher_crimee,https://t.me/otvaZhnyje,27.12.2022,présent,4055,,Organisationnel,Activités d'une organisation bénévole,"Часть команды - Фонда Андрея Лысенко ""Быть добру!""",,"Une partie du fonds A. Lysenko ; coordination et rapports. Ce chat est destiné à la communication au sein du centre de bénévolat. D'après les premiers messages, il est évident que cette section existait déjà et qu'ils ont simplement créé un nouveau chat. Dans ce chat, il est possible de consulter les informations relatives au travail des bénévoles : les demandes sont publiées, les messages concernant la coordination du travail, les matériaux nécessaires, etc. sont envoyés, et les rapports sont également publiés. Il convient de noter que le discours d'Andriy Lysenko, bénévole à Donetsk, est très négatif : il qualifie les forces armées ukrainiennes de fascistes qui bombardent Donetsk.",175,был скачан для анализа чатов,,1
Chat,,,,Crimée,0,Дорога в Крым (Чонгар/и др.),"Route vers la Crimée (Chongar, etc.)",route_crimee,https://t.me/CrimeaWay,07.01.2023,présent,29269,,Communication/discussions/échange d'informations,Franchissement de la frontière,,,"Les personnes partagent leur expérience du passage des frontières. Elles mentionnent souvent que le trajet est particulièrement inquiétant. Elles évoquent l'état de la route, la durée du trajet et les documents qui leur ont été demandés. La route terrestre vers la Crimée passe par Melitopol, Berdiansk, Marioupol, Novoazovsk et Taganrog. La longueur du trajet entre le poste-frontière de « Chongar » et la frontière de la région de Rostov (poste-frontière « Veselo-Voznesensk ») est d'environ 387 kilomètres. La durée approximative du trajet est de sept heures.",8700,,,1
Chat,,,,Crimée,0,Сухопутный Путь в Крым,Route terrestre vers la Crimée,route_terr_crimee,https://t.me/alternativeroadcrimea,14.12.2022,présent,132009,,Communication/discussions/échange d'informations,Franchissement de la frontière,,,"Expérience de conduite ; documents, temps.",20022,,,1
Chat,,,,Crimée,0,Симферополь.Здоровье,Simferopol. Santé,,https://t.me/+ch1CXzqHmzlmZTVi,,,,,,Assistance médicale,,,Liens vers les chats des médecins.,,,,
Chaine,,,,Crimée,0,АПП Джанкой | Оперативно,APP Dzhankoy | Opérationnel,app_dzankoy,https://t.me/dzhankoi_official,06.08.2023,présent,,,Messages structurés,Franchissement de la frontière,,,Des informations concernant les règles à respecter aux points de passage sont publiées. Quelques messages,18777,,,1
Chat,,,,Krasnodar et la région de Krasnodar,0,СПАСИБО — отдать/принять в дар (Динской район),MERCI — offrir/accepter un cadeau (district de Dinskoy),mercI_dinskoy,https://t.me/spasibo_nvt,09.03.2022,présent,9088,,Messages structurés,Re-use/articles,,,Échange d'objets,556,,,
Chaine,,1,,Krasnodar et la région de Krasnodar,0,ЛЮБИ БЛИЖНЕГО,AIMEZ TON PROCHE,aimez_proche,https://t.me/love_neighbor_krd,17.05.2022,2022-08-17 00:00:00,395,,Organisationnel,Activités d'une organisation bénévole,Люби ближнего,Люби ближнего,"Cette chaine publie des rapports sur le travail accompli, ainsi que des photographies. De temps à autre, des publications philosophiques sur l'amour, le bénévolat, etc. sont également partagées.",131,,,1
Chat,1,,,Krasnodar et la région de Krasnodar,0,ЛЮБИ БЛИЖНЕГО,AIMEZ TON PROCHE,aimez_proche_chat,,17.05.2022,2022-08-17 00:00:00,,,Commentgoupe,Activités d'une organisation bénévole,Люби ближнего,Люби ближнего,"Cette chaine publie des rapports sur le travail accompli, ainsi que des photographies. De temps à autre, des publications philosophiques sur l'amour, le bénévolat, etc. sont également partagées.",,,,1
Chat,,,,Krasnodar et la région de Krasnodar,0,Помощь беженцам Краснодар,Assistance aux réfugiés à Krasnodar,assistance_krasnodar,https://t.me/sospeopledon,22.03.2022,présent,13269,,Communication/discussions/échange d'informations,Offre et recherche d'aide,,,"Le chat est destiné à l'échange général d'informations. Informations sur la possibilité d'apporter une aide, demandes d'aide.",1077,,,1
Chat,,,,Krasnodar et la région de Krasnodar,0,Херсонцы в Туапсе,Les habitants de Kherson à Tuapse,assistance_tuapse,https://t.me/KhersonTuapse,08.11.2022,présent,38074,,Communication/discussions/échange d'informations,Centres d'hébergement temporaire (PVR),,,"Depuis la création du chat, les personnes partagent leur expérience de séjour à l'hôtel et leurs impressions sur la ville. Elles partagent des photos de leurs chambres et du processus de formalités administratives. À partir de là, il est possible de suivre le déroulement du processus de formalités après le déménagement.",575,,,1
Chat,,,,Krasnodar et la région de Krasnodar,0,Херсонцы в Краснодаре,Les habitants de Kherson à Krasnodar,habitants_krasnodar,https://t.me/hersonkuban,11.11.2022,présent,53622,,Communication/discussions/échange d'informations,Générale,,,"Logement, transactions, accompagnement ; communication.",1707,,,1
Chaine,,1,,Krasnodar et la région de Krasnodar,0,Помощь | Краснодар,Assistance| Krasnodar,assist_krasnodar,https://t.me/heIp_krd,02.04.2022,2025-04-02 00:00:00,1718,,Organisationnel,Activités d'une organisation bénévole,Помощь Краснодар,Помощь Краснодар,"La chaîne « Aide » est un groupe de personnes de Krasnodar qui souhaitent soutenir les familles ukrainiennes se trouvant sur le territoire russe, qui ont tout perdu et ont été contraintes de quitter leur domicile. Ce groupe fournit une aide personnalisée à certaines familles, en dressant des listes des articles et de l'aide nécessaires dans un tableau afin d'organiser la collecte de l'aide nécessaire. Il publie également des rapports sur l'aide collectée et les demandes générales pour toutes les familles dans le besoin.",1149,,,1
Chat,1,,,Krasnodar et la région de Krasnodar,0,Помощь | Краснодар,Assistance| Krasnodar,assist_krasnodar_chat,,02.04.2022,2025-04-02 00:00:00,,,Commentgoupe,Activités d'une organisation bénévole,Помощь Краснодар,Помощь Краснодар,"La chaîne « Aide » est un groupe de personnes de Krasnodar qui souhaitent soutenir les familles ukrainiennes se trouvant sur le territoire russe, qui ont tout perdu et ont été contraintes de quitter leur domicile. Ce groupe fournit une aide personnalisée à certaines familles, en dressant des listes des articles et de l'aide nécessaires dans un tableau afin d'organiser la collecte de l'aide nécessaire. Il publie également des rapports sur l'aide collectée et les demandes générales pour toutes les familles dans le besoin.",,,,1
