Titre de l'article,Date,Lien,label
В Пензенскую область прибудут более 2 тыс. жителей ДНР и ЛНР,2022-02-21 13:58:00,https://tass.ru/obschestvo/13785517,1
Волгоградская область направит 83 млн рублей на поддержку эвакуированных из ДНР и ЛНР,2022-02-21 14:57:00,https://tass.ru/obschestvo/13785995,1
В ростовских школах рассматривают гибридный формат обучения с учетом эвакуированных,2022-02-21 15:11:00,https://tass.ru/obschestvo/13787559,1
В Ростовской области более 800 волонтеров помогают эвакуированным жителям Донбасса,2022-02-21 15:11:00,https://tass.ru/obschestvo/13787549,1
В Москве открыли штаб по сбору гуманитарной помощи для эвакуированных из Донбасса,2022-02-21 15:48:00,https://tass.ru/obschestvo/13788995,1
Из Астрахани в Ростов-на-Дону направили гуманитарный груз для эвакуированных с Донбасса,2022-02-21 15:49:00,https://tass.ru/obschestvo/13788715,1
"Толстой: тысячи россиян готовы принять эвакуировавшихся из ДНР и ЛНР ""у себя дома""",2022-02-21 16:02:00,https://tass.ru/politika/13789137,1
Санаторий в Чувашии примет около 300 первых эвакуированных жителей Донбасса,2022-02-21 16:02:00,https://tass.ru/obschestvo/13789189,1
Эвакуированные из Донбасса дети на выходных посетят зоопарк и театр в Ростове,2022-02-21 16:32:00,https://tass.ru/obschestvo/13789601,1
В Коми подготовят ПВР на 200 мест для вынужденных переселенцев из Донбасса,2022-02-21 16:57:00,https://tass.ru/obschestvo/13789859,1
"Около 1,5 тыс. жителей ДНР и ЛНР прибудут в Тульскую область 22 февраля",2022-02-21 17:02:00,https://tass.ru/obschestvo/13789873,1
Самарская область готова принять до 1 тыс. эвакуированных жителей Донбасса,2022-02-21 17:07:00,https://tass.ru/obschestvo/13789975,1
"""Единая Россия"" направила гуманитарную колонну для эвакуированных из ДНР и ЛНР",2022-02-21 17:07:00,https://tass.ru/obschestvo/13789985,1
Больница в Ростовской области готова оказать помощь всем нуждающимся эвакуируемым детям,2022-02-21 17:46:00,https://tass.ru/obschestvo/13790253,1
Почти 36% подавших заявки эвакуированных из Донбасса получили выплаты в РФ,2022-02-21 17:55:00,https://tass.ru/obschestvo/13790607,1
Первая гуманитарная помощь от РКК поступит в Ростовскую область в ближайшее время,2022-02-21 17:58:00,https://tass.ru/obschestvo/13790469,1
Бурятия готова принять 400 эвакуированных из ЛНР и ДНР,2022-02-21 18:03:00,https://tass.ru/obschestvo/13790763,1
Источник: число прибывших в РФ жителей Донбасса приблизилось к 80 тыс.,2022-02-21 18:32:00,https://tass.ru/obschestvo/13791131,1
Около 700 эвакуируемых жителей ДНР и ЛНР примут в Рязанской области,2022-02-22 06:17:00,https://tass.ru/obschestvo/13798507,1
Более 11 тыс. жителей Донбасса направили поездами в регионы РФ из Ростовской области,2022-02-22 06:43:00,https://tass.ru/obschestvo/13798869,1
Более 20 тыс. жителей Донбасса за сутки пересекли границу с РФ в Ростовской области,2022-02-22 07:41:00,https://tass.ru/obschestvo/13799753,1
Удмуртия подготовила 250 мест для размещения эвакуированных жителей Донбасса,2022-02-22 08:21:00,https://tass.ru/obschestvo/13800417,1
В Ростовской области для жителей Донбасса развернули почти 190 пунктов размещения,2022-02-22 08:44:00,https://tass.ru/obschestvo/13800841,1
"Оренбургская область готова принять 200 человек, эвакуированных из Донбасса",2022-02-22 09:11:00,https://tass.ru/obschestvo/13801369,1
Школьные отряды вожатых организуют досуг для эвакуированных в РФ детей из Донбасса,2022-02-22 09:13:00,https://tass.ru/obschestvo/13801373,1
В Ростовской области 8 тыс. человек оказывают помощь эвакуированным жителям Донбасса,2022-02-22 09:30:00,https://tass.ru/obschestvo/13801643,1
Первый поезд с эвакуированными жителями Донбасса прибыл в Липецкую область,2022-02-22 09:54:00,https://tass.ru/obschestvo/13802221,1
"Кубанское отделение ""Единой России"" направило 60 тонн гуманитарной помощи эвакуированным",2022-02-22 09:56:00,https://tass.ru/obschestvo/13802255,1
Бурятия отправила 15 тонн гуманитарной помощи для эвакуированных из ЛНР и ДНР,2022-02-22 10:17:00,https://tass.ru/obschestvo/13802791,1
МЧС России доставит 228 тонн гуманитарной помощи эвакуированным из Донбасса,2022-02-22 10:18:00,https://tass.ru/obschestvo/13802283,1
В Белгородскую область прибыл первый поезд с эвакуированными жителями ДНР и ЛНР,2022-02-22 10:20:00,https://tass.ru/obschestvo/13801661,1
"В Литве готовятся принять до 100 тыс. ""бегущих от войны"" украинцев",2022-02-22 10:27:00,https://tass.ru/mezhdunarodnaya-panorama/13803051,1
Единороссы из четырех регионов направили гуманитарную помощь эвакуированным из Донбасса,2022-02-22 10:46:00,https://tass.ru/obschestvo/13802625,1
В Ростовской области для эвакуированных жителей Донбасса подготовили около 200 ПВР,2022-02-22 11:09:00,https://tass.ru/obschestvo/13803035,1
"У 30 жителей Донбасса, эвакуированных в Ростовскую область, выявили коронавирус",2022-02-22 12:15:00,https://tass.ru/obschestvo/13805971,1
"В Ростовской области 6,8 тыс. эвакуированных из Донбасса обратились за получением выплат",2022-02-22 12:26:00,https://tass.ru/obschestvo/13806221,1
"В Ростовской области получили выплаты более 2,3 тыс. жителей Донбасса",2022-02-22 13:04:00,https://tass.ru/obschestvo/13806999,1
"Свыше 200 волонтеров и спасателей помогают жителям Донбасса, приехавшим в Липецкую область",2022-02-22 13:12:00,https://tass.ru/obschestvo/13807257,1
Во всех ПВР в Ростовской области открыли мобильные пункты вакцинации от ковида,2022-02-22 13:14:00,https://tass.ru/obschestvo/13807331,1
В Ростовскую область прибыли воспитанники 23 детских учреждений из Донбасса,2022-02-22 13:16:00,https://tass.ru/obschestvo/13807185,1
Жители Донбасса могут получить статус вынужденных переселенцев,2022-02-22 13:20:00,https://tass.ru/obschestvo/13807259,1
"Лозбинев заявил, что жители Донбасса обеспечены в Ростовской области всем необходимым",2022-02-22 13:38:00,https://tass.ru/obschestvo/13807745,1
В санаториях и гостиницах Карелии готовы принять до 300 человек из ДНР и ЛНР,2022-02-22 15:34:00,https://tass.ru/obschestvo/13809785,1
Калмыкия направила в Ростов-на-Дону гуманитарный груз для эвакуированных жителей Донбасса,2022-02-22 15:52:00,https://tass.ru/obschestvo/13810165,1
В Ростовскую область прибыли первые 800 тонн помощи для жителей ДНР и ЛНР от единороссов,2022-02-22 17:08:00,https://tass.ru/obschestvo/13812017,1
Жители Донбасса продолжают эвакуироваться в Россию в ожидании стабилизации обстановки,2022-02-22 17:30:00,https://tass.ru/obschestvo/13812021,1
Эвакуированным жителям Донбасса предоставят места в ростовских детсадах,2022-02-22 17:42:00,https://tass.ru/obschestvo/13812507,1
Власти Ростовской области выделили 151 млн рублей на ПВР для жителей Донбасса,2022-02-22 17:54:00,https://tass.ru/obschestvo/13812553,1
"В школы Ростова-на-Дону пошел 361 ребенок, эвакуированный с Донбасса",2022-02-22 18:14:00,https://tass.ru/obschestvo/13812909,1
"В Ростовской области заявили, что система помощи жителям Донбасса действует слаженно",2022-02-22 18:29:00,https://tass.ru/obschestvo/13813013,1
Первый поезд с жителями ДНР и ЛНР прибыл в Рязанскую область,2022-02-22 18:47:00,https://tass.ru/obschestvo/13813121,1
"Турчак сообщил, что эвакуированным из Донбасса детям нужны книги и канцелярия",2022-02-22 19:22:00,https://tass.ru/obschestvo/13813313,1
В КЧР открыли пункт сбора гуманитарной помощи для эвакуированных из ДНР и ЛНР,2022-02-22 19:39:00,https://tass.ru/obschestvo/13813447,1
Первый поезд с эвакуированными жителями ДНР и ЛНР прибыл в Пензенскую область,2022-02-22 20:48:00,https://tass.ru/obschestvo/13814011,1
Чуприян: границу России пересекли более 96 тыс. жителей Донбасса,2022-02-23 07:23:00,https://tass.ru/obschestvo/13816675,1
За сутки границу с РФ пересекли более 15 тыс. эвакуированных жителей Донбасса,2022-02-23 07:43:00,https://tass.ru/obschestvo/13816809,1
В РФ более 4 тыс. волонтеров помогают эвакуированным жителям Донбасса,2022-02-23 08:21:00,https://tass.ru/obschestvo/13817213,1
Кузнецова: система приема эвакуированных из Донбасса работает на пределе возможностей,2022-02-23 10:36:00,https://tass.ru/ekonomika/13818297,1
Ставрополье подготовит ПВР для эвакуированных жителей Донбасса,2022-02-23 12:38:00,https://tass.ru/obschestvo/13819733,1
"Детский лагерь ""Ромашка"" в Ростовской области принял 250 детей, эвакуированных из Донбасса",2022-02-23 16:49:00,https://tass.ru/obschestvo/13822423,1
Москвичи помогли собрать реабилитационное оборудование для инвалидов Донбасса,2022-02-28 11:06:00,https://tass.ru/obschestvo/13897211,1
"ЕС ожидает, что в страны сообщества въедут около 5 млн беженцев с Украины",2022-03-07 14:22:00,https://tass.ru/mezhdunarodnaya-panorama/13994677,1
Курские власти утвердили 24 дополнительных ПВР для жителей Донбасса,2022-03-14 11:53:00,https://tass.ru/obschestvo/14062491,1
Первые 78 переселенцев из Харьковской области прибыли в мобильный ПВР в Белгороде,2022-03-22 19:05:00,https://tass.ru/obschestvo/14151093,1
Чуприян: почти 400 тыс. человек прибыли в РФ с территории республик Донбасса и Украины,2022-03-23 12:32:00,https://tass.ru/obschestvo/14158229,1
"Дипломатические баталии, помощь беженцам и газ за рубли.",2022-03-23 18:03:00,https://tass.ru/politika/14163795,1
Более 16 тыс. жителей ДНР и ЛНР за сутки пересекло границу России в Ростовской области,2022-03-26 13:56:00,https://tass.ru/obschestvo/14193993,1
Россия откроет гуманитарный коридор Мариуполь - Запорожье по просьбе Макрона и Шольца,2022-03-31 18:33:00,https://tass.ru/armiya-i-opk/14247757,1
В Ростовскую область с начала эвакуации прибыло более 460 тыс. жителей Донбасса,2022-04-04 10:07:00,https://tass.ru/obschestvo/14272915,1
"""Люди потерянные и не знают, с чего начать"".",2022-04-08 14:35:00,https://tass.ru/obschestvo/14299577,1
"""10 километров мимо неразорвавшихся мин"".",2022-04-13 05:15:00,https://tass.ru/v-strane/14340553,1
"Более 19,5 тыс. человек эвакуировали за сутки из опасных районов Украины и Донбасса",2022-05-12 18:46:00,https://tass.ru/armiya-i-opk/14612185,1
В ООН дали высокую оценку действиям России по приему украинских беженцев,2022-06-24 11:41:00,https://tass.ru/obschestvo/15024555,1
Украинские беженцы потянулись домой:,2022-07-21 13:51:00,https://tass.ru/opinions/15276009,1
"В страны Европы с 24 февраля прибыли более 7,6 млн беженцев с Украины",2022-10-05 19:26:00,https://tass.ru/obschestvo/15967821,1
Свыше 5 млн беженцев прибыли в Россию с территории Украины и Донбасса с февраля,2022-12-19 06:36:00,https://tass.ru/obschestvo/16627517,1
"Более 5,1 млн беженцев прибыли в Россию с территорий Украины и Донбасса",2023-01-09 07:56:00,https://tass.ru/obschestvo/16757749,1
"С февраля 2022 года в Россию прибыли более 5,2 млн беженцев с территории Украины",2023-01-30 07:25:00,https://tass.ru/obschestvo/16914809,1
"Российское гражданство с 2019 года получили более 1,4 млн украинцев",2023-02-02 07:56:00,https://tass.ru/obschestvo/16943909,1
"За год с Украины и из Донбасса на территорию РФ прибыло 5,3 млн беженцев",2023-02-20 07:06:00,https://tass.ru/obschestvo/17091725,1
"В Россию с территории Донбасса и Украины прибыло 5,5 млн беженцев с февраля 2022 года",2023-03-28 06:40:00,https://tass.ru/obschestvo/17383893,1
"Большунов может стать ""королем лыж"" в предпоследний день Олимпиады в Пекине",2022-02-18 21:09:00,https://tass.ru/sport/13762579,0
Власти Москвы подарили дагестанским медикам 100 тыс. защитных костюмов,2022-02-18 21:09:00,https://tass.ru/obschestvo/13762501,0
"Псаки заявила, что Зеленский сам решит, ехать ли в Мюнхен",2022-02-18 21:12:00,https://tass.ru/mezhdunarodnaya-panorama/13762531,0
"Цирк на Фонтанке представит мюзикл на воде ""Одиссея"" по мотивам античных мифов",2022-02-18 21:12:00,https://tass.ru/kultura/13762511,0
В Думу внесли законопроект о нормах обращения со вторсырьем и его раздельном накоплении,2022-02-18 21:13:00,https://tass.ru/obschestvo/13762587,0
Париж и Берлин осудили эскалацию в Донбассе,2022-02-18 21:14:00,https://tass.ru/mezhdunarodnaya-panorama/13762597,0
"БДТ представит премьеру спектакля ""Елизавета Бам"" по Даниилу Хармсу",2022-02-18 21:17:00,https://tass.ru/kultura/13762515,0
"Шольц, Байден и союзники готовы сохранить открытым ""окно дипломатии""",2022-02-18 21:17:00,https://tass.ru/mezhdunarodnaya-panorama/13762625,0
Государственный музей А.С. Пушкина представил выставку об окружении поэта,2022-02-18 21:18:00,https://tass.ru/kultura/13762527,0
В Луганске взорвался газопровод,2022-02-18 21:20:00,https://tass.ru/proisshestviya/13762657,0
"Эксперт заявил, что заболеть одновременно ковидом и гриппом невозможно",2022-02-18 21:24:00,https://tass.ru/obschestvo/13762593,0
"Лидеры ЕС, НАТО и США призвали к немедленной деэскалации ситуации вокруг Украины",2022-02-18 21:33:00,https://tass.ru/mezhdunarodnaya-panorama/13762767,0
"Мультисистемный воспалительный синдром чаще бывает у детей, перенесших ковид легко",2022-02-18 21:34:00,https://tass.ru/obschestvo/13762591,0
"Партия ""Единство народа"" выдвинула в президенты вице-спикера парламента Южной Осетии",2022-02-18 21:46:00,https://tass.ru/mezhdunarodnaya-panorama/13762571,0
Макрон намерен провести переговоры с Путиным 20 февраля,2022-02-18 21:51:00,https://tass.ru/mezhdunarodnaya-panorama/13762901,0
"Байден утверждает, что Киев пытаются спровоцировать в Донбассе",2022-02-18 21:59:00,https://tass.ru/mezhdunarodnaya-panorama/13762943,0
Врио главы МЧС РФ и руководитель Роспотребнадзора прибыли в Ростовскую область,2022-02-18 22:00:00,https://tass.ru/obschestvo/13762921,0
Роскосмос планирует создать пункт переработки космического мусора на орбитальной станции,2022-02-18 22:18:00,https://tass.ru/kosmos/13762985,0
"Гол арендованного у ""Спартака"" Понсе принес ""Эльче"" победу в матче чемпионата Испании",2022-02-18 22:18:00,https://tass.ru/sport/13763063,0
"Байден заявил, что Путин принял решение о вторжении России на Украину",2022-02-18 22:20:00,https://tass.ru/mezhdunarodnaya-panorama/13763123,0
ОБСЕ выразила глубокую обеспокоенность ситуацией на востоке Украины,2022-02-18 22:21:00,https://tass.ru/mezhdunarodnaya-panorama/13763139,0
Захарова прокомментировала выступление Байдена по ситуации вокруг Украины,2022-02-18 22:25:00,https://tass.ru/politika/13763171,0
На Украине журналист и оппозиционный депутат подрались в прямом эфире,2022-02-18 22:30:00,https://tass.ru/proisshestviya/13762909,0
"В ДНР заявили, что ВСУ выпустили 40 гранат и 15 мин по Докучаевску",2022-02-18 22:37:00,https://tass.ru/mezhdunarodnaya-panorama/13763193,0
Байден назвал решение Зеленского поехать в Мюнхен не самым мудрым,2022-02-18 22:40:00,https://tass.ru/mezhdunarodnaya-panorama/13763283,0
Американский чиновник выразил сожаление по поводу учений стратегических сил РФ,2022-02-18 22:54:00,https://tass.ru/politika/13762867,0
МИД Чехии выразил поддержку Украине в условиях обострения ситуации в Донбассе,2022-02-18 22:58:00,https://tass.ru/politika/13762959,0
Премьер Хорватии отправил в отставку задержанного министра строительства,2022-02-19 20:45:00,https://tass.ru/mezhdunarodnaya-panorama/13771333,0
В Ингушетии в результате опрокидывания автоцистерны произошел разлив нефти в канал,2022-02-19 20:51:00,https://tass.ru/proisshestviya/13771341,0
Путин проведет очередной телефонный разговор с Макроном,2022-02-19 21:01:00,https://tass.ru/politika/13771349,0
Во Флориде в результате падения вертолета пострадали два человека,2022-02-19 21:03:00,https://tass.ru/proisshestviya/13771371,0
В Москве в честь Дня гида подготовили тематические экскурсии,2022-02-19 21:04:00,https://tass.ru/obschestvo/13771363,0
"Куба считает, что США развязали пропагандистскую истерию против России",2022-02-19 21:07:00,https://tass.ru/mezhdunarodnaya-panorama/13771379,0
"В Дагестане в феврале откроют два центра военно-патриотического воспитания ""Авангард""",2022-02-19 21:10:00,https://tass.ru/obschestvo/13771345,0
Гинцбург: негативных эффектов от прививки против ковида для ребенка с антителами не будет,2022-02-19 21:12:00,https://tass.ru/obschestvo/13771401,0
В заключительный день Олимпиады в Пекине разыграют пять комплектов медалей,2022-02-19 21:14:00,https://tass.ru/sport/13771425,0
"Зеленский заявил, что обсудил с Макроном ситуацию в Донбассе",2022-02-19 21:15:00,https://tass.ru/mezhdunarodnaya-panorama/13771417,0
Матч звезд Единой лиги ВТБ пройдет в шестой раз,2022-02-19 21:16:00,https://tass.ru/sport/13771389,0
"Вучич заявил, что Сербия запросит у РФ информацию о наборе наемников из Косова в Донбасс",2022-02-19 21:20:00,https://tass.ru/mezhdunarodnaya-panorama/13771407,0
"Передача Чалова помогла ""Базелю"" разгромить ""Лозанну"" в чемпионате Швейцарии по футболу",2022-02-19 21:26:00,https://tass.ru/sport/13771437,0
"Столтенберг заявил, что Россия готовит полномасштабное вторжение на Украину",2022-02-19 21:30:00,https://tass.ru/mezhdunarodnaya-panorama/13771439,0
Зеленский провел в аэропорту Борисполь совещание с руководством силовых ведомств,2022-02-19 21:38:00,https://tass.ru/mezhdunarodnaya-panorama/13771449,0
МИД Швейцарии рекомендовал гражданам страны покинуть регионы Донецка и Луганска,2022-02-19 21:39:00,https://tass.ru/mezhdunarodnaya-panorama/13771455,0
"Вучич считает, что заявление Шольца об агрессии НАТО против Югославии было поверхностным",2022-02-19 21:40:00,https://tass.ru/mezhdunarodnaya-panorama/13771463,0
Мутко: финал Олимпиады с финнами будет очень сложным для российских хоккеистов,2022-02-19 21:41:00,https://tass.ru/sport/13771471,0
"Елисейский дворец: Макрон прилагает усилия, чтобы избежать крупного конфликта на Украине",2022-02-19 21:43:00,https://tass.ru/mezhdunarodnaya-panorama/13771481,0
"""Остался тяжелый осадок"".",2022-02-19 21:53:00,https://tass.ru/sport/13771473,0
Глава МИД Словакии: только РФ может остановить рискованное развитие ситуации в Донбассе,2022-02-19 21:53:00,https://tass.ru/mezhdunarodnaya-panorama/13771505,0
Британия ужесточит законодательство по борьбе со шпионажем,2022-02-19 21:58:00,https://tass.ru/mezhdunarodnaya-panorama/13771525,0
"ПСЖ проиграл ""Нанту"" в матче чемпионата Франции по футболу",2022-02-19 22:05:00,https://tass.ru/sport/13771539,0
"В ДНР сообщили, что ВСУ обстреляли окраины Донецка",2022-02-19 22:07:00,https://tass.ru/proisshestviya/13771549,0
"ЕС осудил обстрелы на Донбассе, но назвал ""сдержанной"" реакцию Киева ""на провокации""",2022-02-19 22:20:00,https://tass.ru/mezhdunarodnaya-panorama/13771563,0
"Минздрав Австрии утвердил правила въезда с тестом на COVID-19, в том числе из России",2022-02-19 22:37:00,https://tass.ru/obschestvo/13771579,0
МККК призвал стороны конфликта на Украине не наносить ущерба гражданским объектам,2022-02-19 22:41:00,https://tass.ru/mezhdunarodnaya-panorama/13771605,0
В Ивановской области столкнулись автобус и три легковых автомобиля,2022-02-19 22:44:00,https://tass.ru/proisshestviya/13771595,0
Джонсон: ситуация на Украине может привести к крупнейшей войне в Европе с 1945 года,2022-02-19 22:46:00,https://tass.ru/mezhdunarodnaya-panorama/13771613,0
Беседа Макрона с Раиси об избежании ядерного кризиса длилась 90 минут,2022-02-19 22:58:00,https://tass.ru/mezhdunarodnaya-panorama/13771629,0
Лавров и глава МИД Сирии обсудят в Москве продвижение политического урегулирования,2022-02-20 21:02:00,https://tass.ru/politika/13777105,0
"Лавров выступит на открытии двухдневной Ближневосточной конференции клуба ""Валдай""",2022-02-20 21:02:00,https://tass.ru/politika/13777119,0
Главы МИД ЕС обсудят евробезопасность и ситуацию вокруг Украины с участием Кулебы,2022-02-20 21:03:00,https://tass.ru/mezhdunarodnaya-panorama/13777129,0
"Путин по видеосвязи пообщается с паралимпийцами РФ, уезжающими в Пекин",2022-02-20 21:03:00,https://tass.ru/politika/13777093,0
Николай Расторгуев отметит 65-летие,2022-02-20 21:04:00,https://tass.ru/kultura/13777139,0
В РФ стартовала выдача COVID-сертификатов на основании положительного теста на антитела,2022-02-20 21:05:00,https://tass.ru/obschestvo/13777147,0
Милиция в Белоруссии переходит на усиленный вариант несения службы в связи с референдумом,2022-02-20 21:06:00,https://tass.ru/mezhdunarodnaya-panorama/13777159,0
В Петербурге и Ленобласти продлили работу общепита и ночных клубов,2022-02-20 21:07:00,https://tass.ru/obschestvo/13777151,0
Депутаты от ЛДПР предлагают ввести мораторий на рост тарифов ЖКХ с 1 июля по 31 декабря,2022-02-20 21:09:00,https://tass.ru/ekonomika/13777177,0
"Матыцин: коронавирус стал главным фактором, повлиявшим на результаты конькобежцев в Пекине",2022-02-20 21:10:00,https://tass.ru/sport/13777189,0
Американцы ждут от посольства в России более надежных источников об угрозах атак,2022-02-20 21:14:00,https://tass.ru/obschestvo/13777181,0
"В ЛНР заявили, что в результате обстрелов со стороны ВСУ ранены трое мирных жителей",2022-02-20 21:17:00,https://tass.ru/proisshestviya/13777205,0
Байден провел телефонный разговор с Макроном,2022-02-20 21:20:00,https://tass.ru/mezhdunarodnaya-panorama/13777213,0
"В Словакии 22 февраля отменят режим ЧС, введенный из-за коронавируса",2022-02-20 21:23:00,https://tass.ru/obschestvo/13777219,0
Вера Алентова встретит юбилей на сцене Театра имени Пушкина,2022-02-20 21:23:00,https://tass.ru/kultura/13777167,0
Матыцин: при подготовке спортсменов к Олимпиаде-2026 нужно уделить внимание психологии,2022-02-20 21:26:00,https://tass.ru/sport/13777227,0
График Байдена изменили второй раз за день из-за касающихся его семьи обстоятельств,2022-02-20 21:30:00,https://tass.ru/mezhdunarodnaya-panorama/13777239,0
Экс-гендиректора Merlion задержали по подозрению в ложном доносе и фабрикации улик,2022-02-20 21:36:00,https://tass.ru/proisshestviya/13777257,0
Министр экономики и промышленности Израиля прибыла в Марокко для укрепления отношений,2022-02-20 21:38:00,https://tass.ru/mezhdunarodnaya-panorama/13777271,0
Мэр Оттавы выступил за продажу конфискованных машин участников протеста дальнобойщиков,2022-02-20 21:52:00,https://tass.ru/obschestvo/13777295,0
На Тихоокеанском побережье России в ближайшие дни ожидаются ураган и сильный ветер,2022-02-20 21:57:00,https://tass.ru/obschestvo/13777283,0
TikTok запустит проект по популяризации языков народов России,2022-02-20 22:00:00,https://tass.ru/obschestvo/13777303,0
Сербский депутат опубликовал открытое письмо в поддержку жителей Донбасса,2022-02-20 22:07:00,https://tass.ru/mezhdunarodnaya-panorama/13777307,0
Многодетные семьи Чукотки могут получить до 3 млн рублей на первоначальный ипотечный взнос,2022-02-20 22:10:00,https://tass.ru/nedvizhimost/13777291,0
Джонсон представит план по отмене последних коронавирусных ограничений,2022-02-20 22:30:00,https://tass.ru/obschestvo/13777333,0
Макфол удивился предупреждению американского посольства в России,2022-02-20 22:38:00,https://tass.ru/mezhdunarodnaya-panorama/13777339,0
"""Флорида"" обыграла ""Чикаго"" в матче НХЛ. Бобровский отразил 22 броска",2022-02-20 22:46:00,https://tass.ru/sport/13777347,0
"Фильм ""Анчартед: на картах не значится"" вновь возглавил кинопрокат в РФ и СНГ в выходные",2022-02-20 22:52:00,https://tass.ru/kultura/13777365,0
"Театр Романа Виктюка представит премьеру спектакля ""Мертвые души""",2022-02-20 22:55:00,https://tass.ru/kultura/13777357,0
На севере Японии из-за снегопадов отменили сотни железнодорожных и авиарейсов,2022-02-20 22:57:00,https://tass.ru/obschestvo/13777373,0
Соглашения с ДНР и ЛНР внесли в Госдуму,2022-02-21 22:02:00,https://tass.ru/politika/13794683,0
Пушилин: решение Путина о признании ДНР и ЛНР дает уверенность в мирном будущем региона,2022-02-21 22:06:00,https://tass.ru/mezhdunarodnaya-panorama/13794693,0
"Почти 7 тыс. пар подали заявления в ЗАГС через ""Госуслуги"" на 22 февраля 2022 года",2022-02-21 22:08:00,https://tass.ru/obschestvo/13794109,0
Генсек Совета Европы призвала Россию отменить решение о признании независимости ДНР и ЛНР,2022-02-21 22:13:00,https://tass.ru/mezhdunarodnaya-panorama/13794761,0
Договоры России с ДНР и ЛНР.,2022-02-21 22:16:00,https://tass.ru/politika/13794819,0
Боррель обсудил с Кулебой дальнейшие шаги после признания Россией ДНР и ЛНР,2022-02-21 22:17:00,https://tass.ru/mezhdunarodnaya-panorama/13794791,0
Глава ПАСЕ предложит обсудить вопрос о признании Россией ДНР и ЛНР на встрече 11 марта,2022-02-21 22:21:00,https://tass.ru/mezhdunarodnaya-panorama/13794835,0
Замглавы МИД РФ Руденко будет представлять президента на ратификации договоров с ДНР и ЛНР,2022-02-21 22:26:00,https://tass.ru/politika/13794709,0
Посол РФ: Вашингтон ведет бескомпромиссную борьбу против российских дипломатов,2022-02-21 22:26:00,https://tass.ru/politika/13794937,0
Обращение Владимира Путина к россиянам.,2022-02-21 22:27:00,https://tass.ru/politika/13791435,0
В заседании Совбеза Украины объявили перерыв,2022-02-21 22:28:00,https://tass.ru/mezhdunarodnaya-panorama/13794961,0
Президент Сербии отдал приказ о повышенной готовности армии и полиции,2022-02-21 22:32:00,https://tass.ru/mezhdunarodnaya-panorama/13794129,0
"Постпредство Украины при ООН сочло признание ДНР и ЛНР равнозначным выходу РФ из ""Минска""",2022-02-21 22:38:00,https://tass.ru/mezhdunarodnaya-panorama/13795057,0
"Эксперт считает, что Китай спокойно отреагирует на признание Россией ЛНР и ДНР",2022-02-21 22:38:00,https://tass.ru/politika/13794051,0
Путин наградил председателя парламента КНР Ли Чжаньшу орденом Дружбы,2022-02-21 22:39:00,https://tass.ru/obschestvo/13795011,0
Президент Польши призвал НАТО и ЕС проявить жесткую позицию к России и ввести санкции,2022-02-21 22:41:00,https://tass.ru/mezhdunarodnaya-panorama/13795047,0
"Доходы ФОМС выросли на 9,9% в 2021 году",2022-02-21 22:43:00,https://tass.ru/ekonomika/13794045,0
"Зеленский подтвердил, что ""как можно быстрее"" готовится выступить с обращением",2022-02-21 22:43:00,https://tass.ru/mezhdunarodnaya-panorama/13795141,0
Турция считает неприемлемым решение России признать независимость ДНР и ЛНР,2022-02-21 22:44:00,https://tass.ru/mezhdunarodnaya-panorama/13795133,0
Украина призывает созвать заседание Совбеза ООН в связи с признанием Россией ДНР и ЛНР,2022-02-21 22:46:00,https://tass.ru/mezhdunarodnaya-panorama/13795149,0
Народный фронт в ближайшее время откроет представительства в ДНР и ЛНР,2022-02-21 22:47:00,https://tass.ru/mezhdunarodnaya-panorama/13795261,0
США намерены искать дипломатическое решение ситуации с Украиной до военных действий,2022-02-21 22:47:00,https://tass.ru/mezhdunarodnaya-panorama/13795193,0
Джонсон проведет заседание чрезвычайного правительственного комитета из-за Украины,2022-02-21 22:48:00,https://tass.ru/mezhdunarodnaya-panorama/13795267,0
Минстрой попросили вывести щебень из-под налога на добычу полезных ископаемых,2022-02-21 22:49:00,https://tass.ru/ekonomika/13794077,0
"Администрация США утверждает, что видеозаписи инцидентов в Донбассе были сделаны заранее",2022-02-21 22:51:00,https://tass.ru/mezhdunarodnaya-panorama/13795303,0
"Постпред США при ООН утверждает, что признание ДНР и ЛНР угрожает международному порядку",2022-02-21 22:53:00,https://tass.ru/mezhdunarodnaya-panorama/13795345,0
"Голевая передача Свечникова помогла ""Каролине"" обыграть ""Филадельфию"" в матче НХЛ",2022-02-21 22:54:00,https://tass.ru/sport/13795387,0
Марокко и Израиль договорились о создании квалифицированных промышленных зон в королевстве,2022-02-21 22:56:00,https://tass.ru/ekonomika/13794067,0
Байден подписал указ о санкциях в связи с признанием Россией ДНР и ЛНР,2022-02-21 22:56:00,https://tass.ru/mezhdunarodnaya-panorama/13795427,0
Народный фронт в ближайшее время откроет представительства в ДНР и ЛНР,2022-02-21 22:57:00,https://tass.ru/obschestvo/13795319,0
В Москве подготовили тематическую программу в честь Дня защитника Отечества,2022-02-22 21:16:00,https://tass.ru/obschestvo/13814319,0
Единогласные меры. Запад ввел санкции в ответ на признание ЛНР и ДНР,2022-02-22 21:18:00,https://tass.ru/ekonomika/13813999,0
Эмир Кустурица примет участие в юбилейном фестивале Башмета в Сочи,2022-02-22 21:22:00,https://tass.ru/kultura/13814297,0
