text,published_dt,topic
На Ставрополье прибыли эвакуированные жители из ДНР и ЛНР,2022-02-24T13:38:14,5
ФМБА развернуло в Ростовской области три медпункта для эвакуированных из Донбасса,2022-02-24T12:35:48,9
Во Владимирской области подготовлены 35 пунктов размещения для эвакуированных из ЛНР и ДНР,2022-02-24T12:24:57,9
"В школах Воронежа начали обучение более 70 детей, эвакуированных из Донбасса",2022-02-24T12:11:02,0
В Крыму на границе с Украиной развернули палаточные городки для эвакуированных,2022-02-24T12:07:12,9
Ярославская область направила 20 тонн гуманитарной помощи эвакуированным жителям ДНР и ЛНР,2022-02-24T11:48:18,3
Минстрой допустил вход эвакуированных из Донбасса в жилпрограмму вынужденных переселенцев,2022-02-24T11:44:16,7
Жители Москвы передали более 2 тонн продуктов эвакуированным из Донецка и Луганска,2022-02-24T10:33:56,3
В Подмосковье прибыли еще более 400 эвакуированных жителей Донбасса,2022-02-24T10:09:22,5
В МЧС сообщили о продолжении работы по приему эвакуированных в Россию жителей Донбасса,2022-02-24T08:43:59,7
Границу с Россией в Ростовской области за сутки пересекли более 9 тыс. жителей Донбасса,2022-02-24T07:14:21,12
ГУ МЧС организовало в Тульской области горячую линию для прибывающих жителей Донбасса,2022-02-24T07:06:05,8
Около 10 тысяч sim-карт российских операторов выданы эвакуированным из ЛНР и ДНР,2022-02-24T06:42:41,11
Всем детям из Донбасса помогут в зачислении в учебные заведения России,2022-02-24T06:31:25,0
В Россию из Донбасса эвакуировали более 105 тыс. человек,2022-02-24T06:13:39,1
В Крыму готовы принимать беженцев с Украины,2022-02-24T06:03:30,-1
Более 500 детей из Донбасса начали посещать школы в Ростовской области,2022-02-25T18:32:29,0
Более 11 тыс. жителей Донбасса обратились за единовременной выплатой в 10 тыс. рублей,2022-02-25T17:38:57,11
Цирк в Ростове-на-Дону даст специальное представление для эвакуированных с Донбасса семей,2022-02-25T16:05:36,0
Первый поезд с эвакуированными жителями ДНР и ЛНР прибыл в Орел,2022-02-25T15:16:09,5
Чувашия примет около 600 эвакуированных жителей Донбасса,2022-02-25T12:00:48,4
"Крымские власти заявили, что в регионе достаточно мест для приема жителей Донбасса",2022-02-25T11:42:40,7
РКК открыл в 36 региональных отделениях пункты сбора помощи для переселенцев из Донбасса,2022-02-25T11:38:11,8
Детей Донбасса в Ростовской области до 1 марта обеспечат книгами и канцтоварами,2022-02-25T11:32:05,0
Помощь для жителей Донбасса поступила в Ростов из Московской и Тульской областей,2022-02-25T11:01:05,3
Ростовские власти выделили более 60 млн рублей на перевозку эвакуированных из Донбасса,2022-02-25T10:16:01,11
В Воронежской области готовы принять 7 тыс. эвакуированных жителей Донбасса,2022-02-25T09:52:54,4
Ингушетия отправила в Ростов-на-Дону помощь для эвакуированных жителей Донбасса,2022-02-25T09:43:29,3
"Жители Донбасса прибывают в Ростовскую область, несмотря на завершение эвакуации",2022-02-25T08:18:34,9
В Тулу прибыл первый поезд с эвакуированными жителями Донбасса,2022-02-25T08:15:53,5
Более 230 ПВР для эвакуированных из Донбасса действуют в 15 регионах страны,2022-02-25T08:06:31,6
Более 7 тыс. жителей Донбасса пересекли границу в Ростовской области за сутки,2022-02-25T07:14:58,2
Через границу России перешли более 120 тыс. эвакуированных жителей Донбасса,2022-02-25T07:03:39,2
"В ПВР в Ростовской области находятся более 6,2 тыс. эвакуированных жителей Донбасса",2022-02-25T06:51:21,6
"Новосибирская область готова принять до 1,2 тыс. эвакуированных из Донбасса",2022-02-25T05:41:17,4
Источник: в Россию с 18 февраля эвакуировали почти 113 тыс. жителей Донбасса,2022-02-25T05:22:52,10
Около 150 эвакуированных жителей Донбасса прибыли в Крым,2022-02-26T18:38:32,5
Эвакуировавшиеся жители Донбасса самостоятельно прибывают в Астраханскую область,2022-02-26T17:27:20,9
Отделение Союза журналистов РФ в КБР объявило сбор помощи для жителей Донбасса,2022-02-26T16:57:12,8
Пятигорск отправил гуманитарную помощь для жителей Донбасса,2022-02-26T13:01:34,3
Эвакуированные школьники Донбасса 28 февраля приступят к занятиям в Ростовской области,2022-02-26T11:12:32,0
"Минкультуры запустит акцию ""День в музее"" для детей беженцев из Донбасса",2022-02-26T08:53:50,0
"Тюменская область готова принять 1,6 тыс. эвакуированных жителей ДНР и ЛНР",2022-02-26T08:28:03,4
Число эвакуированных в Россию жителей Донбасса выросло почти до 118 тыс.,2022-02-26T07:26:34,-1
Продукты и медикаменты для жителей Донбасса доставили из Пятигорска и Ленобласти,2022-02-27T14:18:02,3
В Москве собрали более 200 тыс. товаров для эвакуированных из Донецка и Луганска,2022-02-27T13:12:41,3
Власти Каспийска отправили более 10 тонн гуманитарной помощи жителям Донбасса,2022-02-27T11:54:21,3
В Ростовской области открыли горячую линию по трудоустройству эвакуированных из Донбасса,2022-02-27T09:05:27,8
"Границу РФ в Ростовской области за сутки пересекли более 4,2 тыс. жителей Донбасса",2022-02-27T08:07:00,12
Число эвакуированных в Россию жителей Донбасса превысило 122 тыс.,2022-02-27T07:38:27,-1
Единовременную помощь получили почти 12 тыс. эвакуированных из Донбасса,2022-02-28T20:32:27,11
"Более 500 человек из ДНР и ЛНР, прибывших в Крым, обратились за помощью",2022-02-28T18:59:45,11
"Аксенов сообщил, что находящимся на территории Украины крымчанам помогают вернуться домой",2022-02-28T18:03:29,7
Из Сургута в Ростовскую область прибыли первые 10 тонн помощи эвакуированным из ДНР и ЛНР,2022-02-28T17:14:56,5
В Сириусе открылся пункт приема гуманитарной помощи для переселенцев из Донбасса,2022-02-28T15:24:30,8
Росгосцирк проведет специальные представления для эвакуированных из Донбасса семей,2022-02-28T14:57:48,0
Из Ингушетии в Ростов-на-Дону отправят 20 тонн гумпомощи эвакуированным жителям Донбасса,2022-02-28T14:39:32,3
Ингушетия готова принять 300 вынужденных переселенцев из ДНР и ЛНР,2022-02-28T13:59:11,4
"Свыше 160 волонтеров помогают жителям Донбасса, приехавшим в Липецкую область",2022-02-28T12:44:28,-1
Около 127 тыс. жителей Донбасса пересекли границу с Россией,2022-02-28T11:49:50,2
Число обращений эвакуированных из Донбасса на горячую линию МЧС снизилось вдвое,2022-02-28T08:15:00,-1
"За сутки более 4,7 тыс. жителей Донбасса пересекли границу России",2022-02-28T07:58:00,2
Мурманская область готова принять более 740 эвакуированных жителей из ЛНР и ДНР,2022-02-28T06:29:39,4
Число эвакуированных в Россию жителей Донбасса превысило 127 тыс.,2022-02-28T05:54:08,-1
"Эксперты считают, что малый бизнес в РФ готов трудоустроить эвакуированных из ЛНР и ДНР",2022-02-28T03:07:48,4
Первые беженцы из Донбасса прибыли в Калининградскую область,2022-03-01T19:36:11,5
В Коми прибыли первые вынужденные переселенцы из ДНР и ЛНР,2022-03-01T16:37:51,5
Единороссы из четырех регионов отправили гуманитарную помощь эвакуированным из Донбасса,2022-03-01T15:58:25,8
"Служба ""Милосердие"" отправила 10 тонн помощи в регионы России для переселенцев с Донбасса",2022-03-01T13:36:03,3
Россия приняла с середины февраля более 100 тысяч беженцев с Донбасса,2022-03-01T11:17:55,10
Крым собрал еще более 44 тонн гуманитарной помощи для Донбасса,2022-03-01T08:56:52,3
"Москалькова: надо определить статус переселенцев из Донбасса, чтобы они могли работать",2022-03-01T08:26:24,4
Более 5 тыс. жителей ДНР и ЛНР пересекли за сутки границу РФ в Ростовской области,2022-03-01T07:39:36,2
Басурин: для жителей Мариуполя организуют два гуманитарных коридора,2022-03-01T07:31:43,9
МГЕР вместе с приемными партии организует игровые комнаты для детей из Донбасса,2022-03-01T06:56:13,0
Дагестан принял первых для региона эвакуированных из Донбасса,2022-03-01T06:31:42,6
Источник: свыше 132 тыс. жителей Донбасса эвакуированы в Россию с 18 февраля,2022-03-01T05:28:01,10
Прибывшие в Ярославскую область жители Донбасса обратились к властям за помощью,2022-03-02T16:08:06,8
В Ленинградскую область самостоятельно прибыли более 120 человек из Донбасса,2022-03-02T15:09:01,5
В Челябинскую область самостоятельно прибыли более 30 переселенцев из ДНР и ЛНР,2022-03-02T12:10:01,5
Границу России пересекли уже более 132 тыс. эвакуированных жителей Донбасса,2022-03-02T12:06:30,2
Сочинцы отправили более 15 тонн гуманитарной помощи беженцам из ДНР и ЛНР,2022-03-02T11:49:17,3
Более 5 тыс. волонтеров помогают эвакуированным жителям Донбасса в России,2022-03-02T10:14:13,-1
"В аппарате омбудсмена заявили, что жалоб от прибывших из Донбасса в Волгоград не поступало",2022-03-02T09:53:07,7
"Более 4,9 тыс. эвакуированных жителей Донбасса въехали в Ростовскую область за сутки",2022-03-02T08:39:41,6
Почти 2 тыс. волонтеров помогают эвакуированным жителям Донбасса в Ростовской области,2022-03-02T07:32:12,-1
Число эвакуированных в Россию жителей Донбасса выросло до 137 тыс. человек,2022-03-02T06:34:58,-1
В Тверскую область прибыли более 100 эвакуированных жителей ДНР и ЛНР,2022-03-03T19:42:26,5
РПЦ объявила сбор средств на помощь эвакуированным из Донбасса,2022-03-03T17:59:40,8
Ставропольский край принял 300 эвакуированных из Донбасса,2022-03-03T17:45:48,6
Кировская область направила 20 тонн гуманитарного груза для жителей Донбасса,2022-03-03T16:36:28,3
Северная Осетия готова обеспечить рабочими местами прибывающих жителей Донбасса,2022-03-03T16:12:54,4
В Тюменской области начали принимать заявки на выплаты эвакуированным жителям Донбасса,2022-03-03T12:55:52,8
На Урале создали комиссию по организации нахождения эвакуированных из Донбасса,2022-03-03T12:50:18,8
Пушилин сообщил о готовности РФ принять жителей Мариуполя,2022-03-03T10:45:20,7
Первые вынужденные переселенцы с Донбасса и Украины самостоятельно прибыли в Мурманск,2022-03-03T10:09:06,5
"За сутки еще около 5,5 тыс. жителей Донбасса пересекли границу с Россией",2022-03-03T07:04:43,2
Более 142 тыс. жителей Донбасса эвакуировали в Россию с 18 февраля,2022-03-03T05:46:39,10
На Ставрополье ввели режим повышенной готовности из-за прибытия эвакуированных из Донбасса,2022-03-04T22:09:01,1
В Ростовскую область поступило почти 620 тонн помощи эвакуированным жителям Донбасса,2022-03-04T19:00:04,3
"""Артек"" готов принять эвакуированных из ДНР и ЛНР детей",2022-03-04T14:26:12,4
Тюменская область подготовила 16 пунктов временного размещения для жителей Донбасса,2022-03-04T12:38:32,9
"За сутки с территории Украины эвакуировали 5 855 человек, в том числе 1 670 детей",2022-03-04T11:47:14,1
"Общий объем средств для выплат эвакуированным жителям Донбасса установили в 1,5 млрд руб.",2022-03-04T11:40:48,11
В Россию из Донбасса приехало порядка 20 тыс. детей,2022-03-04T11:32:58,10
"Ставрополье готово обеспечить питанием более 1,5 тыс. эвакуированных из Донбасса",2022-03-04T11:20:26,4
Новосибирск отправил 20 т гуманитарной помощи жителям Донбасса,2022-03-04T10:46:52,3
"Власти Крыма заявили, что в регионе нет беженцев с Украины",2022-03-04T09:40:09,7
Более 8 тыс. жителей Донбасса пересекли границу с РФ за сутки,2022-03-04T09:33:46,2
Около 17 тыс. эвакуированных в Ростовскую область жителей Донбасса получили выплаты,2022-03-04T08:47:37,11
Более 150 пунктов сбора гуманитарной помощи эвакуированным из Донбасса открыто в РФ,2022-03-04T08:44:03,11
Ярмарки вакансий для эвакуированных жителей Донбасса пройдут в Подмосковье,2022-03-04T08:34:16,4
Томская область готова принять 700 эвакуированных жителей из ЛНР и ДНР,2022-03-04T07:41:43,4
Число эвакуированных в Россию жителей Донбасса превысило 166 тыс.,2022-03-04T05:54:06,-1
Около 7 тыс. жителей Донбасса разместили в ПВР Ростовской области,2022-03-05T17:06:09,6
"В Ростовской области на COVID-19 проверили 12,5 тыс. эвакуированных из ДНР и ЛНР",2022-03-05T16:45:48,1
Более 400 прибывших из Донбасса в Ростовскую область выразили желание получить работу в РФ,2022-03-05T15:21:50,4
"""Почта России"" запускает программу трудоустройства беженцев",2022-03-05T15:10:33,8
"Кузбасс готов принять и трудоустроить 1,5 тыс. эвакуированных из Донбасса",2022-03-05T14:49:24,4
Почти 32 тыс. волонтеров помогают эвакуированным в Россию жителям Донбасса,2022-03-05T12:34:10,-1
Владимирская область отправила первую машину с помощью для граждан Донбасса под Белгород,2022-03-05T11:52:35,3
Для детей беженцев создадут программу по истории РФ с учетом специфики развития Донбасса,2022-03-05T10:08:16,0
"ФМБА направило медиков в регионы РФ для помощи эвакуированным из ДНР, ЛНР и Украины",2022-03-05T09:19:16,8
Москалькова приветствует открытие гуманитарных коридоров для жителей Мариуполя и Волновахи,2022-03-05T07:36:00,3
Более 5 тыс. жителей Донбасса пересекли границу с РФ за сутки в Ростовской области,2022-03-05T07:21:12,2
Почти 174 тыс. человек эвакуировались в Россию из Донбасса и с Украины,2022-03-05T06:55:27,1
"МО РФ: тысячи людей хотят покинуть Украину, но киевские власти отказываются их выпускать",2022-03-06T18:04:06,-1
В Луганск прибыла гуманитарная помощь РФ для освобожденных районов,2022-03-06T13:36:02,3
Первые эвакуированные жители Донбасса прибыли в Ханты-Мансийский автономный округ,2022-03-06T12:33:50,5
Музей-заповедник Тургенева в Орловской области принял эвакуированных жителей Донбасса,2022-03-06T12:18:43,6
"В Россию из Донбасса и с Украины прибыли 181,5 тыс. человек",2022-03-06T09:00:08,10
"За сутки около 6,5 тыс. жителей Донбасса пересекли границу с РФ в Ростовской области",2022-03-06T08:18:51,2
Свыше 70 эвакуированных жителей Донбасса прибыли в Ханты-Мансийский автономный округ,2022-03-07T17:39:37,5
Ростовская область готова к приему беженцев с Украины,2022-03-07T09:12:36,4
В Россию из Донбасса и с Украины прибыли почти 186 тыс. человек,2022-03-07T07:22:00,10
"ООН заявила, что беженцы с Украины должны иметь возможность эвакуации в любом направлении",2022-03-08T18:07:46,7
"Более 4,5 тыс. эвакуированных из Донбасса пересекли за сутки границу в Ростовской области",2022-03-08T08:03:48,2
Более 7 тонн продуктов и вещей отправили в Донбасс из Тверской области,2022-03-09T19:45:31,3
Ялта отправила 9 тонн гуманитарной помощи жителям Донбасса,2022-03-09T14:49:58,3
КБР направит в помощь жителям Донбасса 100 тонн гуманитарной помощи,2022-03-09T14:13:17,3
Более 600 жителей Донбасса и граждан Украины прибыли в Белгородскую область за выходные,2022-03-09T13:49:35,5
Керчь отправила около 900 кг гуманитарной помощи эвакуированным из ДНР и ЛНР,2022-03-09T12:03:34,3
В Анапе организуют учебно-тренировочные сборы для эвакуированных из Донбасса детей,2022-03-09T11:20:40,0
Путин обсудит с Львовой-Беловой ситуацию с детьми беженцев из Донбасса,2022-03-09T10:50:34,7
"Всероссийский детский центр ""Смена"" на Кубани принял 75 детей из ДНР",2022-03-09T07:31:03,0
Число прибывших в Россию из Донбасса и с Украины превысило 204 тыс. человек,2022-03-09T05:45:03,-1
"Больница Севастополя начала принимать детей, раненных на Украине",2022-03-10T19:59:24,-1
МО РФ: в базе данных 2 617 349 желающих эвакуироваться из населенных пунктов Украины,2022-03-10T19:23:09,1
Число прибывших в Воронежскую область жителей Донбасса превысило 5 тыс.,2022-03-10T15:34:57,-1
"Около 6,7 тыс. жителей Донбасса пересекли за сутки границу РФ в Ростовской области",2022-03-10T14:28:17,2
Первый поезд с 315 эвакуированными жителями Донбасса прибыл в Калугу,2022-03-10T14:14:34,5
"Около 500 граждан Украины, жителей ДНР и ЛНР приехали в Белгородскую область за сутки",2022-03-10T12:16:07,2
Около 200 эвакуированных из Донбасса в Подмосковье выразили желание трудоустроиться,2022-03-10T11:10:30,4
Более 6 тыс. жителей Донбасса находятся в ПВР в Ростовской области,2022-03-10T09:37:00,6
В Россию из Донбасса и с Украины прибыли более 213 тыс. человек,2022-03-10T06:00:23,10
Более 150 детей из Донбасса обучаются в школах Волгоградской области,2022-03-11T13:09:08,0
Калужская область ввела режим повышенной готовности для приема жителей Украины и Донбасса,2022-03-11T11:55:37,1
Власти Челябинской области развернули 23 пункта для эвакуированных людей из Донбасса,2022-03-11T09:19:35,9
Почти 222 тыс. человек эвакуировались в Россию из Донбасса и с Украины,2022-03-11T05:52:20,1
Из Приамурья выехала первая машина с гуманитарной помощью для переселенцев из ДНР и ЛНР,2022-03-11T02:24:47,5
"Более 9,5 тыс. пунктов размещения для граждан с Украины и из Донбасса функционируют в РФ",2022-03-12T19:04:27,6
"Воронежская область готова помочь 7 тыс. покинувшим Украину, ДНР и ЛНР",2022-03-12T17:35:31,4
Татарстан отправил более 81 тонны гуманитарной помощи для жителей Донбасса,2022-03-12T15:28:49,3
Около 9 тыс. жителей Донбасса за сутки пересекли границу РФ в Ростовской области,2022-03-12T15:17:54,2
"Кабмин утвердил распределение по регионам вынужденно покинувших Украину, ДНР и ЛНР",2022-03-12T14:43:49,7
Тамбовская область приняла первых 344 эвакуированных жителей Донбасса,2022-03-13T13:38:58,6
Более 90% беженцев из Донбасса уже получили материальную помощь в Ростовской области,2022-03-13T07:23:15,11
В социальной гостинице для онкобольных детей в Москве разместили 13 семей из Донбасса,2022-03-14T14:52:32,0
Ставрополье направило 75 тонн гуманитарной помощи для эвакуированных жителей Донбасса,2022-03-14T14:49:23,3
Россия приняла 250 тыс. беженцев из Донбасса и с Украины,2022-03-14T12:11:28,10
Курские власти утвердили 24 дополнительных ПВР для жителей Донбасса,2022-03-14T11:53:28,11
Около 7 тыс. жителей Донбасса пересекли за сутки границу РФ в Ростовской области,2022-03-14T08:03:15,2
Почти 40 тыс. эвакуированных в Россию жителей Донбасса получили выплаты в 10 тыс. рублей,2022-03-14T06:36:22,11
Число прибывших в Россию из Донбасса и Украины приблизилось к 250 тыс. человек,2022-03-14T06:05:58,-1
Около 20 тонн гуманитарной помощи для жителей Донбасса отправили из Петербурга,2022-03-15T15:12:54,3
Первые автобусы МО РФ с беженцами из Мариуполя прибыли на границу Ростовской области,2022-03-15T14:40:05,5
В крымские школы пошли учиться более 200 эвакуированных из Донбасса детей,2022-03-15T13:35:54,0
Первые 30 тонн гуманитарной помощи для жителей Донбасса отправили из Мурманска,2022-03-15T11:56:02,3
Красноярский край и Тува отправили 20 тонн гуманитарной помощи для жителей Донбасса,2022-03-15T10:48:38,3
Сбор помощи беженцам из Донбасса в Санкт-Петербурге,2022-03-15T10:18:43,8
Более 10 тыс. жителей Донбасса пересекли за сутки границу РФ в Ростовской области,2022-03-15T08:25:11,2
Число эвакуированных в Россию из Донбасса и с Украины выросло почти до 260 тыс.,2022-03-15T06:17:00,-1
Более 300 эвакуированных с Донбасса отправили железной дорогой во Владимирскую область,2022-03-16T15:24:51,6
Власти Воронежа подготовили места к приему более 1 100 жителей ДНР и ЛНР,2022-03-16T14:20:24,9
Курские власти предоставили бесплатный проезд для эвакуированных жителей Донбасса,2022-03-16T14:04:48,11
"Более 10,5 тыс. жителей Донбасса пересекли за сутки границу РФ в Ростовской области",2022-03-16T09:10:46,2
В Луганск эвакуировали первую группу жителей Рубежного,2022-03-16T07:48:38,5
Жители Чукотки передали теплые вещи для детей эвакуированных из ДНР и ЛНР,2022-03-16T01:45:42,3
Около 4 тыс. переселенцев с Донбасса разместили в регионах ПФО,2022-03-17T18:18:11,6
"Во Владимирскую область прибыли более 360 жителей, покинувших Украину и Донбасс",2022-03-17T17:32:27,5
В Забайкалье подготовили пункты временного размещения для переселенцев из ДНР и ЛНР,2022-03-17T13:07:32,9
МО РФ сообщило о прибытии первых пяти автобусов с беженцами из Харьковской области,2022-03-17T10:28:27,5
Более 100 эвакуированных жителей из ДНР и ЛНР прибыли в регионы Сибири,2022-03-17T09:36:43,5
Помощь детям Донбасса в России,2022-03-17T09:31:05,8
Минпросвещения РФ проработает вопросы организации отдыха детей из Донбасса,2022-03-17T09:27:43,0
Более 11 тыс. жителей Донбасса пересекли за сутки границу РФ в Ростовской области,2022-03-17T08:30:33,2
"""Артек"" начнет принимать детей из ЛНР и ДНР с апреля",2022-03-17T06:12:39,0
Число эвакуированных в Россию из Донбасса и с Украины выросло почти до 285 тыс.,2022-03-17T05:58:14,-1
На границу Ростовской области прибыли 13 автобусов МО РФ с беженцами из Мариуполя,2022-03-17T03:04:47,5
Колонна со 100 тоннами гуманитарной помощи жителям Донбасса отправилась из Самары,2022-03-18T19:57:15,3
"Свыше 2,7 млн человек изъявили желание эвакуироваться с Украины в Россию",2022-03-18T19:44:14,1
Образовательные организации в России приняли более 13 тыс. детей Донбасса,2022-03-18T18:44:10,0
Под Белгородом развернули мобильный ПВР на 540 мест для жителей Украины и Донбасса,2022-03-18T15:10:17,9
Более 18 тыс. эвакуированных из Донбасса и Украины обратились за медпомощью,2022-03-18T11:59:09,11
Более 13 тыс. жителей Донбасса пересекли за сутки границу РФ,2022-03-18T08:19:20,2
Число эвакуированных в Россию из Донбасса и с Украины превысило 300 тыс.,2022-03-18T06:03:40,-1
"В Воронежскую область прибыли более 240 человек из ДНР, ЛНР и Украины",2022-03-19T20:24:07,5
Единый центр гумпомощи за месяц направил более 1 тыс. тонн грузов жителям Донбасса,2022-03-19T13:10:33,3
Жители Забайкалья собрали более 20 тонн гуманитарной помощи для беженцев из ДНР и ЛНР,2022-03-19T11:36:42,3
Более 30 тонн помощи собрали для эвакуированных из Донбасса в Волгоградской области,2022-03-19T09:18:58,3
Во Владимирскую область прибыл второй поезд с эвакуированными жителями Донбасса,2022-03-19T07:55:00,5
Около 50 эвакуированных из Мариуполя направят на поезде в Ярославскую область,2022-03-19T01:35:55,6
Границу России в Ростовской области за сутки пересекли более 12 тыс. жителей Донбасса,2022-03-20T10:13:36,12
Почти 500 эвакуированных жителей Мариуполя поездом доставили в Ярославскую область,2022-03-20T08:55:48,6
"Правительство выделило ФМБА 200,2 млн рублей на помощь беженцам из ЛНР, ДНР и с Украины",2022-03-21T16:28:56,11
Пятигорск направил еще 20 тонн гуманитарного груза для жителей Донбасса,2022-03-21T14:58:18,3
Около 500 жителей Донбасса и Украины доставили поездом из Таганрога в Тульскую область,2022-03-21T12:53:00,6
В Ростовскую область направили более 40 тонн помощи эвакуированным жителям Донбасса,2022-03-21T12:39:14,3
Границу России в Ростовской области за сутки пересекло более 9 тыс. жителей Донбасса,2022-03-21T11:24:05,12
"Беженцев, прибывающих с Украины в Крым, разместили в ПВР в Джанкое",2022-03-21T06:16:20,9
Число прибывших в Россию с Украины и из Донбасса приблизилось к 350 тыс.,2022-03-21T05:52:11,-1
"В палатках, но без обстрелов. Как живут беженцы из Мариуполя в палаточном лагере в ДНР",2022-03-22T21:00:39,9
Первые 78 переселенцев из Харьковской области прибыли в мобильный ПВР в Белгороде,2022-03-22T19:05:06,5
В МО РФ сообщили об эвакуации из Мариуполя более 68 тыс. человек,2022-03-22T18:51:54,1
В Орловскую область прибыли 200 вынужденных переселенцев из Донбасса,2022-03-22T18:45:59,5
Ставрополье направило еще 80 тонн гуманитарной помощи для жителей Донбасса,2022-03-22T16:12:20,3
Делегацию ООН проинформировали о размещении жителей Донбасса в России,2022-03-22T13:35:38,7
"В Ростовскую область доставили более 2,5 тыс. тонн гуманитарных грузов для эвакуированных",2022-03-22T12:53:55,3
КБР собрала 140 тонн гуманитарной помощи для беженцев из Донецкой и Луганской республик,2022-03-22T11:50:40,3
Белгородские власти планируют отправку поездами в регионы эвакуированных жителей Донбасса,2022-03-22T10:50:12,-1
В Крыму развернули шесть пунктов временного размещения для эвакуированных с Украины,2022-03-22T08:57:22,9
Более 15 тыс. жителей Донбасса пересекло за сутки границу России в Ростовской области,2022-03-22T08:31:40,2
Более 360 тыс. человек прибыли в Россию с территории Украины и Донбасса с 18 февраля,2022-03-22T07:46:14,10
Более 365 тыс. человек прибыли в Россию из республик Донбасса и с Украины,2022-03-22T06:23:11,10
Более 60 эвакуированных с Донбасса детей прибыли в Севастополь,2022-03-22T05:57:42,5
МЧС развернуло в Крыму пункт обогрева для вынужденных переселенцев из-за пробок на границе,2022-03-22T05:38:18,9
Первая группа эвакуированных жителей Донбасса выехала домой в ЛНР из Воронежской области,2022-03-23T19:49:12,5
В Ессентуках к приему жителей Донбасса приготовят пять пунктов временного размещения,2022-03-23T18:47:52,9
Более 500 эвакуированных жителей Донбасса и Украины доставили поездом в Тульскую область,2022-03-23T16:11:42,6
"В регионы РФ из Ростовской области отправлены 16,6 тыс. эвакуированных из Донбасса",2022-03-23T14:40:32,6
Почти вдвое вырос поток беженцев в Россию с Украины и из Донбасса с начала эвакуации,2022-03-23T14:17:37,10
Через погранпункты в Крыму прошли более 18 тыс. человек с территории Донбасса и Украины,2022-03-23T13:46:14,2
"В ООН заявили, что беженцам в Ростовской области оказывается помощь на высшем уровне",2022-03-23T12:59:38,7
"Около 6,5 тыс. жителей Украины и Донбасса прибыли в Белгородскую область за месяц",2022-03-23T12:52:28,10
Чуприян: почти 400 тыс. человек прибыли в РФ с территории республик Донбасса и Украины,2022-03-23T12:32:52,10
Более 15 тыс. жителей Донбасса пересекли за сутки границу России в Ростовской области,2022-03-23T07:12:56,2
"В ГД сообщили, что число людей, прибывающих из Донбасса в Россию, увеличилось в разы",2022-03-24T20:46:25,-1
В РПЦ предложили брать детей-сирот на поруки в связи с их потоком из Донбасса,2022-03-24T16:26:53,0
Из Петербурга в Ростов отправили около 20 тонн гуманитарной помощи для жителей Донбасса,2022-03-24T14:39:54,3
В Крыму развернули дополнительные ПВР для эвакуированных с Украины,2022-03-24T12:33:13,9
Более 45 тыс. жителей Донбасса за три дня пересекли границу России в Ростовской области,2022-03-24T07:34:23,2
Число эвакуированных в Россию из Донбасса и с Украины превысило 400 тыс.,2022-03-24T05:37:39,-1
"Дети Донбасса, прибывшие в Югру, учатся в месте размещения",2022-03-25T16:57:47,0
Жители Свердловской области собрали более 2 млн рублей для эвакуированных из Донбасса,2022-03-25T12:48:46,11
Пушилин: около 11 тыс. жителей Мариуполя находится в пунктах временного размещения в ДНР,2022-03-25T11:07:28,6
Керчь начала принимать украинских беженцев,2022-03-25T10:09:39,7
Более 16 тыс. жителей Донбасса пересекли за сутки границу России в Ростовской области,2022-03-25T07:15:04,2
Более 422 тыс. человек прибыли в Россию из Донбасса и с Украины,2022-03-25T05:36:12,10
"За сутки более 19,6 тыс. человек эвакуировали в РФ из опасных районов Украины, ДНР и ЛНР",2022-03-26T18:36:38,1
Более 16 тыс. жителей ДНР и ЛНР за сутки пересекло границу России в Ростовской области,2022-03-26T13:56:42,2
Более 24 тыс. беженцев с Украины прибыли в Крым,2022-03-26T10:43:56,5
В Пензу прибыли 460 вынужденных переселенцев из ЛНР и ДНР,2022-03-27T11:34:58,5
"Более 12,5 тыс. жителей Донбасса за сутки пересекли границу РФ в Ростовской области",2022-03-27T07:15:31,2
В Самарскую область прибыл второй поезд с переселенцами из ДНР и ЛНР,2022-03-27T02:46:02,5
В Пятигорске собрали еще 25 тонн гуманитарной помощи для жителей Донбасса,2022-03-28T18:20:13,3
СПЧ подготовил памятку для временных переселенцев с Украины и из Донбасса,2022-03-28T14:49:37,8
Россияне пожертвовали в РКК более 81 млн рублей для помощи переселенцам из Донбасса,2022-03-28T10:34:03,11
РКК за месяц доставил 540 тонн гуманитарной помощи для переселенцев из Донбасса,2022-03-28T10:09:21,3
"Более 11,5 тыс. жителей Донбасса за сутки пересекли границу РФ в Ростовской области",2022-03-28T07:20:26,2
Более 28 тыс. эвакуированных с территории Украины прибыли в Крым,2022-03-28T07:04:58,5
Более 472 тыс. человек прибыли в Россию из Донбасса и с Украины,2022-03-28T05:29:14,10
Калмыкия отправила более 20 тонн гуманитарной помощи для жителей Донбасса,2022-03-29T22:00:24,3
Астраханцы направили 12 тонн гуманитарной помощи для жителей Донбасса,2022-03-29T18:00:05,3
"Кубанское агропредприятие сообщило о готовности трудоустроить до 1,5 тыс. беженцев",2022-03-29T07:23:15,4
Более 15 тыс. жителей Донбасса пересекли за сутки границу РФ,2022-03-29T06:18:12,2
Число прибывших в Россию с территории Украины и Донбасса выросло почти до 490 тыс.,2022-03-29T05:47:32,-1
В России стартует кампания помощи зоопаркам и животным Донбасса и Украины,2022-03-30T21:06:26,8
